description,amount,direction,source_category,budget_category,merchant,merchant_seen_in_training
[debit] WALMART SUPERCENTER*DG0SWS20,57.47,debit,Shopping,Shopping,WALMART SUPERCENTER,True
[debit] SQ *UNITED AIRLINES SEATTLE WA,693.71,debit,Travel,Transportation,UNITED AIRLINES,True
[debit] POS DEBIT APPLE.COM/BILL 81V0WB,21.06,debit,Subscriptions,Entertainment,APPLE.COM/BILL,True
[debit] WIRE TRANSFER FEE M84F,4.39,debit,Fees,Transfers & Fees,WIRE TRANSFER FEE,True
[credit] POS DEBIT DOORDASH DRIVER PAY LC8M5U,529.52,credit,Income,Income,DOORDASH DRIVER PAY,True
[debit] CITY WATER WORKS DES:PAYMENT ID:FLBK5LMH1R INDN:CARDHOLDER,307.53,debit,Utilities,Bills & Housing,CITY WATER WORKS,True
[debit] OVERDRAFT FEE 0W8D,35.97,debit,Fees,Transfers & Fees,OVERDRAFT FEE,True
[debit] PURDUE UNIVERSITY DES:PAYMENT ID:B6P72Q0EBC INDN:CARDHOLDER,1001.36,debit,Education,Bills & Housing,PURDUE UNIVERSITY,True
[debit] PEETS COFFEE*Z7V7WNQLC,18.13,debit,Coffee,Food & Drink,PEETS COFFEE,True
[debit] CAMPUS CROSSING DES:ACH PMT ID:F6WRC6LBS8 INDN:CARDHOLDER,1007.75,debit,Rent,Bills & Housing,CAMPUS CROSSING,True
[debit] WINCO FOODS SAN FRANCISCO CA,166.54,debit,Groceries,Food & Drink,WINCO FOODS,True
[debit] CORTLAND MGMT DES:ACH PMT ID:KTEGA97FWV INDN:CARDHOLDER,1202.59,debit,Rent,Bills & Housing,CORTLAND MGMT,True
[debit] COSTCO WHSE*6CMT1K1C1X,61.36,debit,Groceries,Food & Drink,COSTCO WHSE,True
[debit] FOOD LION SAN FRANCISCO CA,184.79,debit,Groceries,Food & Drink,FOOD LION,True
[debit] POS DEBIT CHIPOTLE J8903Y,9.11,debit,Dining,Food & Drink,CHIPOTLE,True
[debit] CAMPUS CROSSING*7SANH3U,1424.3,debit,Rent,Bills & Housing,CAMPUS CROSSING,True
[debit] POS DEBIT BIRD RIDES XXHVMY,28.07,debit,Rideshare,Transportation,BIRD RIDES,True
[debit] TARGET*KB09CSLDUN,113.7,debit,Groceries,Food & Drink,TARGET,True
[debit] WALMART SUPERCENTER AUSTIN TX,53.42,debit,Groceries,Food & Drink,WALMART SUPERCENTER,True
[debit] PURCHASE MARATHON PETRO COLUMBUS OHUS,25.08,debit,Gas,Transportation,MARATHON PETRO,True
[debit] NIPSCO DES:BILLPAY ID:GL8RRJQTZS INDN:CARDHOLDER,155.81,debit,Utilities,Bills & Housing,NIPSCO,True
[debit] WILLOW CREEK APTS DES:DIRECT DEP ID:GR5J2XEJWW INDN:CARDHOLDER,2003.57,debit,Rent,Bills & Housing,WILLOW CREEK APTS,True
[debit] TST* GREYHOUSE #6341 BROOKLYN NY,2.97,debit,Coffee,Food & Drink,TST* GREYHOUSE,True
[debit] ENTERPRISE RENT A CAR #2161 WEST LAFAYETTE IN,287.36,debit,Travel,Transportation,ENTERPRISE RENT A CAR,True
[debit] PURCHASE UNITED AIRLINES COLUMBUS OHUS,252.24,debit,Travel,Transportation,UNITED AIRLINES,True
[debit] BOOKING.COM*PBUAZNE9,735.91,debit,Travel,Transportation,BOOKING.COM,True
[debit] OVERDRAFT FEE KFZQ,7.82,debit,Fees,Transfers & Fees,OVERDRAFT FEE,True
[debit] PURCHASE AMTRAK INDIANAPOLIS INUS,913.25,debit,Travel,Transportation,AMTRAK,True
[debit] POS DEBIT WALGREENS 8DML5Q,323.24,debit,Healthcare,Health & Wellness,WALGREENS,True
[debit] PARKMOBILE*6R0A58,52.7,debit,Rideshare,Transportation,PARKMOBILE,True
[debit] ALASKA AIR #1861 WEST LAFAYETTE IN,570.18,debit,Travel,Transportation,ALASKA AIR,True
[debit] F45 TRAINING DES:DIRECT DEP ID:YP283032E4 INDN:CARDHOLDER,88.77,debit,Fitness,Health & Wellness,F45 TRAINING,True
[debit] POS DEBIT IU HEALTH 86YSK9,420.27,debit,Healthcare,Health & Wellness,IU HEALTH,True
[debit] SPEEDWAY #7839 INDIANAPOLIS IN,55.03,debit,Groceries,Food & Drink,SPEEDWAY,True
[debit] THE LODGE APTS*ZNKDLQ,1656.28,debit,Rent,Bills & Housing,THE LODGE APTS,True
[debit] SPECTRUM DES:ACH PMT ID:MWBSAERW8F INDN:CARDHOLDER,194.07,debit,Utilities,Bills & Housing,SPECTRUM,True
[debit] SCOOTERS COFFEE*PJ9HE2ZN,4.41,debit,Coffee,Food & Drink,SCOOTERS COFFEE,True
[debit] ONLINE XFER TO SAV*W3HDM3X4KC,162.46,debit,Transfer,Transfers & Fees,ONLINE XFER TO SAV,True
[debit] HILTON GARDEN INN #7810 DENVER CO,637.39,debit,Travel,Transportation,HILTON GARDEN INN,True
[debit] ALASKA AIR #2219 SAN FRANCISCO CA,767.64,debit,Travel,Transportation,ALASKA AIR,True
[debit] TICKETMASTER #854 SAN FRANCISCO CA,164.49,debit,Entertainment,Entertainment,TICKETMASTER,True
[debit] PURCHASE FOOD LION SEATTLE WAUS,42.13,debit,Groceries,Food & Drink,FOOD LION,True
[debit] POS DEBIT CIRCLE K MJDSM9,35.59,debit,Gas,Transportation,CIRCLE K,True
[debit] SQ *BLUE BOTTLE #9047 COLUMBUS OH,22.51,debit,Coffee,Food & Drink,SQ *BLUE BOTTLE,True
[debit] EXPEDIA WEST LAFAYETTE IN,423.64,debit,Travel,Transportation,EXPEDIA,True
[debit] POS DEBIT WALGREENS 8FJVWZ,324.84,debit,Healthcare,Health & Wellness,WALGREENS,True
[credit] DROPBOX DES:ACH PMT ID:CRX8M6H7NJ INDN:CARDHOLDER,6.12,credit,Subscriptions,Entertainment,DROPBOX,True
[credit] STRIPE TRANSFER DES:DIRECT DEP ID:1VS50AFGAV INDN:CARDHOLDER,1115.8,credit,Income,Income,STRIPE TRANSFER,True
[debit] UNIV BOOKSTORE*A8N7PKFBB,511.61,debit,Education,Bills & Housing,UNIV BOOKSTORE,True
[credit] PAYPAL INST XFER*4P6GVDND,3365.07,credit,Income,Income,PAYPAL INST XFER,True
[debit] PARKMOBILE*X9JE95,30.2,debit,Rideshare,Transportation,PARKMOBILE,True
[debit] PURCHASE COINBASE TRANSFER AUSTIN TXUS,428.67,debit,Transfer,Transfers & Fees,COINBASE TRANSFER,True
[debit] WALGREENS*CE96T5LFQG,129.91,debit,Shopping,Shopping,WALGREENS,True
[debit] SQ *DOORDASH PHOENIX AZ,84.64,debit,Dining,Food & Drink,DOORDASH,True
[debit] TOPGOLF BROOKLYN NY,168.75,debit,Entertainment,Entertainment,TOPGOLF,True
[debit] PURCHASE CAMPUS CROSSING INDIANAPOLIS INUS,1356.91,debit,Rent,Bills & Housing,CAMPUS CROSSING,True
[debit] AT&T MOBILITY*E28KATPL9F,244.42,debit,Utilities,Bills & Housing,AT&T MOBILITY,True
[debit] DROPBOX DES:ACH PMT ID:7MBYZWQLG1 INDN:CARDHOLDER,7.21,debit,Subscriptions,Entertainment,DROPBOX,True
[debit] SQ *PUBLIX PHOENIX AZ,84.76,debit,Groceries,Food & Drink,PUBLIX,True
[credit] REDSTONE PROPERTIES DES:ACH PMT ID:3RZU51ZTWV INDN:CARDHOLDER,2118.11,credit,Rent,Bills & Housing,REDSTONE PROPERTIES,True
[debit] APPLE.COM/BILL DES:PAYMENT ID:YFH90LT7RP INDN:CARDHOLDER,5.4,debit,Subscriptions,Entertainment,APPLE.COM/BILL,True
[debit] PURCHASE CARIBOU COFFEE CHICAGO ILUS,11.84,debit,Coffee,Food & Drink,CARIBOU COFFEE,True
[debit] DROPBOX DES:ACH PMT ID:14WEUY46CQ INDN:CARDHOLDER,8.04,debit,Subscriptions,Entertainment,DROPBOX,True
[debit] PURCHASE SAMS CLUB WEST LAFAYETTE INUS,204.16,debit,Groceries,Food & Drink,SAMS CLUB,True
[debit] PURCHASE MARATHON PETRO PHOENIX AZUS,65.99,debit,Gas,Transportation,MARATHON PETRO,True
[debit] PURCHASE APPLE.COM/BILL DENVER COUS,44.25,debit,Subscriptions,Entertainment,APPLE.COM/BILL,True
[debit] HERTZ RENT A CAR #1919 SAN FRANCISCO CA,883.45,debit,Travel,Transportation,HERTZ RENT A CAR,True
[debit] ANYTIME FITNESS DES:ACH PMT ID:LUBWUEQLP4 INDN:CARDHOLDER,88.2,debit,Fitness,Health & Wellness,ANYTIME FITNESS,True
[debit] SQ *UNIQLO USA SEATTLE WA,407.44,debit,Shopping,Shopping,UNIQLO USA,True
[debit] POS DEBIT ANYTIME FITNESS TTQQJ5,75.54,debit,Fitness,Health & Wellness,ANYTIME FITNESS,True
[debit] COSTCO WHSE*45VT6QZP,15.58,debit,Gas,Transportation,COSTCO WHSE,True
[debit] UNIQLO USA*3XJWXVKS,297.25,debit,Shopping,Shopping,UNIQLO USA,True
[debit] DROPBOX DES:PAYMENT ID:QPQJ7JG4AL INDN:CARDHOLDER,32.28,debit,Subscriptions,Entertainment,DROPBOX,True
[debit] THE LODGE APTS*DF7101,1273.29,debit,Rent,Bills & Housing,THE LODGE APTS,True
[debit] ANYTIME FITNESS DES:BILLPAY ID:X8WZZBMUQ3 INDN:CARDHOLDER,46.26,debit,Fitness,Health & Wellness,ANYTIME FITNESS,True
[debit] HULU INDIANAPOLIS IN,31.36,debit,Subscriptions,Entertainment,HULU,True
[debit] POS DEBIT CIRCLE K VSB88D,82.87,debit,Gas,Transportation,CIRCLE K,True
[credit] DIRECT DEP PAYROLL DES:PAYMENT ID:ZHEV0A58P2 INDN:CARDHOLDER,2455.4,credit,Income,Income,DIRECT DEP PAYROLL,True
[debit] GREYSTAR PROPERTY*T4H11WFUVS,1563.51,debit,Rent,Bills & Housing,GREYSTAR PROPERTY,True
[credit] FIDELITY DIVIDEND AUSTIN TX,3353.62,credit,Income,Income,FIDELITY DIVIDEND,True
[credit] ETSY PAYOUT*DRPZBAL78,2300.06,credit,Income,Income,ETSY PAYOUT,True
[debit] HULU DES:ACH PMT ID:VJKSKLURBK INDN:CARDHOLDER,46.96,debit,Subscriptions,Entertainment,HULU,True
[debit] POS DEBIT CARIBOU COFFEE ZT5R5M,20.7,debit,Coffee,Food & Drink,CARIBOU COFFEE,True
[debit] POS DEBIT TST* GREYHOUSE X8KXLJ,21.03,debit,Coffee,Food & Drink,TST* GREYHOUSE,True
[debit] PELOTON MEMBERSHIP DES:PAYMENT ID:J8RS82NZW4 INDN:CARDHOLDER,33.46,debit,Fitness,Health & Wellness,PELOTON MEMBERSHIP,True
[debit] EDX INC DES:DEPOSIT ID:756616ZDX3 INDN:CARDHOLDER,1016.56,debit,Education,Bills & Housing,EDX INC,True
[debit] POS DEBIT DATACAMP MD9SHZ,821.94,debit,Education,Bills & Housing,DATACAMP,True
[debit] POS DEBIT VERIZON WIRELESS KS05YW,253.49,debit,Utilities,Bills & Housing,VERIZON WIRELESS,True
[debit] WALMART SUPERCENTER #7115 NASHVILLE TN,157.0,debit,Groceries,Food & Drink,WALMART SUPERCENTER,True
[debit] POS DEBIT ONLINE XFER TO SAV KQ0BRZ,284.08,debit,Transfer,Transfers & Fees,ONLINE XFER TO SAV,True
[debit] PURCHASE ORANGETHEORY BROOKLYN NYUS,75.59,debit,Fitness,Health & Wellness,ORANGETHEORY,True
[debit] SPOTIFY USA DES:DIRECT DEP ID:PUMYD15KK2 INDN:CARDHOLDER,55.13,debit,Subscriptions,Entertainment,SPOTIFY USA,True
[debit] SPECTRUM DES:PAYMENT ID:1NWU9YN2FA INDN:CARDHOLDER,208.06,debit,Utilities,Bills & Housing,SPECTRUM,True
[debit] PURCHASE LA FITNESS COLUMBUS OHUS,121.86,debit,Fitness,Health & Wellness,LA FITNESS,True
[debit] UDEMY DENVER CO,735.99,debit,Education,Bills & Housing,UDEMY,True
[debit] PURCHASE TST* BAR LOUIE BROOKLYN NYUS,23.6,debit,Dining,Food & Drink,TST* BAR LOUIE,True
[debit] POS DEBIT REPUBLIC SERVICES 7XE5UC,286.36,debit,Utilities,Bills & Housing,REPUBLIC SERVICES,True
[debit] POS DEBIT CVS PHARMACY 4Z6QLK,66.95,debit,Healthcare,Health & Wellness,CVS PHARMACY,True
[debit] PURCHASE DUKE ENERGY WEST LAFAYETTE INUS,228.34,debit,Utilities,Bills & Housing,DUKE ENERGY,True
[credit] VA BENEFITS DES:BILLPAY ID:9QR3C8SQG7 INDN:CARDHOLDER,3901.07,credit,Income,Income,VA BENEFITS,True
[debit] POS DEBIT THE LODGE APTS 2T7FKT,758.38,debit,Rent,Bills & Housing,THE LODGE APTS,True
[debit] PURCHASE TARGET CHICAGO ILUS,119.27,debit,Groceries,Food & Drink,TARGET,True
[debit] POS DEBIT HULU 0RWGU8,24.78,debit,Subscriptions,Entertainment,HULU,True
[debit] SQ *BP PRODUCTS SAN FRANCI CA,51.17,debit,Gas,Transportation,BP PRODUCTS,True
[debit] SCOOTERS COFFEE*S1UUUSG,13.0,debit,Coffee,Food & Drink,SCOOTERS COFFEE,True
[debit] CASH APP TRANSFER COLUMBUS OH,592.3,debit,Transfer,Transfers & Fees,CASH APP TRANSFER,True
[credit] PURCHASE SAMS CLUB BROOKLYN NYUS,134.03,credit,Shopping,Shopping,SAMS CLUB,True
[debit] UDEMY DES:DIRECT DEP ID:KVGBBJFEQ3 INDN:CARDHOLDER,200.63,debit,Education,Bills & Housing,UDEMY,True
[debit] SPEEDWAY*5BL202A,50.61,debit,Gas,Transportation,SPEEDWAY,True
[debit] POS DEBIT DISNEY PLUS BESBBX,6.62,debit,Subscriptions,Entertainment,DISNEY PLUS,True
[debit] PAYPAL *SPEEDWAY,71.77,debit,Gas,Transportation,SPEEDWAY,True
[debit] EDX INC*BD3CPAA0Q,1542.69,debit,Education,Bills & Housing,EDX INC,True
[debit] POS DEBIT REGAL CINEMAS 8KVYW4,130.97,debit,Entertainment,Entertainment,REGAL CINEMAS,True
[debit] CURB TAXI #5502 INDIANAPOLIS IN,31.7,debit,Rideshare,Transportation,CURB TAXI,True
[debit] WINCO FOODS PHOENIX AZ,184.23,debit,Groceries,Food & Drink,WINCO FOODS,True
[debit] DISNEY PLUS DES:PAYMENT ID:A4B3563NHP INDN:CARDHOLDER,50.11,debit,Subscriptions,Entertainment,DISNEY PLUS,True
[debit] SQ *OLIVE GARDEN COLUMBUS OH,9.84,debit,Dining,Food & Drink,OLIVE GARDEN,True
[debit] PURCHASE UDEMY PHOENIX AZUS,1228.24,debit,Education,Bills & Housing,UDEMY,True
[debit] DATACAMP DES:DEPOSIT ID:TCXQY5MJW4 INDN:CARDHOLDER,1596.22,debit,Education,Bills & Housing,DATACAMP,True
[debit] REDSTONE PROPERTIES DENVER CO,2338.84,debit,Rent,Bills & Housing,REDSTONE PROPERTIES,True
[debit] PURCHASE SQ *BLUE BOTTLE DENVER COUS,14.5,debit,Coffee,Food & Drink,SQ *BLUE BOTTLE,True
[debit] POS DEBIT WALGREENS D7DZB4,369.66,debit,Shopping,Shopping,WALGREENS,True
[debit] ZOCDOC #615 SAN FRANCISCO CA,591.36,debit,Healthcare,Health & Wellness,ZOCDOC,True
[debit] POS DEBIT TST* THE BLUE DOOR R1N1D3,22.0,debit,Dining,Food & Drink,TST* THE BLUE DOOR,True
[credit] DOORDASH DRIVER PAY DES:DEPOSIT ID:PY2H167XYS INDN:CARDHOLDER,1284.86,credit,Income,Income,DOORDASH DRIVER PAY,True
[debit] TST* BAR LOUIE #9284 WEST LAFAYETTE IN,62.91,debit,Dining,Food & Drink,TST* BAR LOUIE,True
[debit] SQ *CHIPOTLE WEST LAFAY IN,23.56,debit,Dining,Food & Drink,CHIPOTLE,True
[debit] POS DEBIT EXXONMOBIL KJ7455,23.76,debit,Gas,Transportation,EXXONMOBIL,True
[debit] SPEEDWAY #1041 CHICAGO IL,73.44,debit,Gas,Transportation,SPEEDWAY,True
[debit] ANYTIME FITNESS DES:DIRECT DEP ID:DUA6VTR6HD INDN:CARDHOLDER,59.76,debit,Fitness,Health & Wellness,ANYTIME FITNESS,True
[credit] PURCHASE DIRECT DEP PAYROLL AUSTIN TXUS,607.95,credit,Income,Income,DIRECT DEP PAYROLL,True
[debit] POS DEBIT ORANGETHEORY 7EUXX2,62.32,debit,Fitness,Health & Wellness,ORANGETHEORY,True
[credit] DIRECT DEP PAYROLL DES:DIRECT DEP ID:G5XNX6ALL2 INDN:CARDHOLDER,2618.36,credit,Income,Income,DIRECT DEP PAYROLL,True
[debit] POS DEBIT TST* GREYHOUSE LESB19,20.26,debit,Coffee,Food & Drink,TST* GREYHOUSE,True
[debit] LA FITNESS DES:DEPOSIT ID:406X036PGZ INDN:CARDHOLDER,105.7,debit,Fitness,Health & Wellness,LA FITNESS,True
[debit] LIVE NATION SEATTLE WA,179.74,debit,Entertainment,Entertainment,LIVE NATION,True
[debit] MCGRAW HILL DES:DEPOSIT ID:K1ZUZL77HN INDN:CARDHOLDER,767.68,debit,Education,Bills & Housing,MCGRAW HILL,True
[debit] BARNES NOBLE COLLEG DES:ACH PMT ID:5J0XXBL414 INDN:CARDHOLDER,1463.36,debit,Education,Bills & Housing,BARNES NOBLE COLLEG,True
[debit] LATE PAYMENT FEE QGMD,35.35,debit,Fees,Transfers & Fees,LATE PAYMENT FEE,True
[debit] PURCHASE CAMPUS CROSSING PHOENIX AZUS,954.49,debit,Rent,Bills & Housing,CAMPUS CROSSING,True
[debit] DATACAMP WEST LAFAYETTE IN,1636.85,debit,Education,Bills & Housing,DATACAMP,True
[credit] DROPBOX DES:PAYMENT ID:V8MVFVQBTU INDN:CARDHOLDER,12.37,credit,Subscriptions,Entertainment,DROPBOX,True
[debit] GREYSTAR PROPERTY DES:ACH PMT ID:PVUT1ML7J8 INDN:CARDHOLDER,666.38,debit,Rent,Bills & Housing,GREYSTAR PROPERTY,True
[debit] VENMO CASHOUT*83BSNK,859.15,debit,Transfer,Transfers & Fees,VENMO CASHOUT,True
[debit] PURCHASE MARRIOTT HOTELS SAN FRANCISCO CAUS,81.17,debit,Travel,Transportation,MARRIOTT HOTELS,True
[debit] PURCHASE SPOTHERO NASHVILLE TNUS,33.59,debit,Rideshare,Transportation,SPOTHERO,True
[debit] F45 TRAINING ATLANTA GA,51.36,debit,Fitness,Health & Wellness,F45 TRAINING,True
[debit] CORTLAND MGMT*3URPWS1,761.86,debit,Rent,Bills & Housing,CORTLAND MGMT,True
[debit] SPEEDWAY*CEXT337PAN,19.16,debit,Gas,Transportation,SPEEDWAY,True
[debit] TST* BAR LOUIE #9266 WEST LAFAYETTE IN,66.69,debit,Dining,Food & Drink,TST* BAR LOUIE,True
[debit] PURCHASE SPROUTS FARMERS MKT INDIANAPOLIS INUS,77.3,debit,Groceries,Food & Drink,SPROUTS FARMERS MKT,True
[debit] PURCHASE EXPEDIA WEST LAFAYETTE INUS,1164.54,debit,Travel,Transportation,EXPEDIA,True
[credit] ZELLE PAYMENT DES:PAYMENT ID:E8K9CFAW5K INDN:CARDHOLDER,133.65,credit,Income,Income,ZELLE PAYMENT,True
[debit] WIRE TRANSFER FEE WZDM,15.34,debit,Fees,Transfers & Fees,WIRE TRANSFER FEE,True
[debit] COINBASE TRANSFER SAN FRANCISCO CA,749.16,debit,Transfer,Transfers & Fees,COINBASE TRANSFER,True
[debit] POS DEBIT DISNEY PLUS X80H34,17.66,debit,Subscriptions,Entertainment,DISNEY PLUS,True
[debit] SQ *LUMINARY BAKERY INDIANAPOLIS IN,22.08,debit,Coffee,Food & Drink,SQ *LUMINARY BAKERY,True
[debit] PURCHASE F45 TRAINING PHOENIX AZUS,87.62,debit,Fitness,Health & Wellness,F45 TRAINING,True
[debit] ZOCDOC*D6SQ4Y,203.72,debit,Healthcare,Health & Wellness,ZOCDOC,True
[debit] WALGREENS NASHVILLE TN,249.36,debit,Shopping,Shopping,WALGREENS,True
[debit] POS DEBIT ORANGETHEORY 8DABGB,31.81,debit,Fitness,Health & Wellness,ORANGETHEORY,True
[debit] FOOD LION #1510 INDIANAPOLIS IN,144.45,debit,Groceries,Food & Drink,FOOD LION,True
[debit] POS DEBIT STRAVA SUBSCRIPTION P7HNK5,149.81,debit,Fitness,Health & Wellness,STRAVA SUBSCRIPTION,True
[credit] STRIPE TRANSFER DES:DIRECT DEP ID:BCBFG640YC INDN:CARDHOLDER,2454.45,credit,Income,Income,STRIPE TRANSFER,True
[debit] SQ *RAISING CANES BROOKLYN NY,76.84,debit,Dining,Food & Drink,RAISING CANES,True
[debit] ADOBE INC DES:PAYMENT ID:HV1HH649WT INDN:CARDHOLDER,56.44,debit,Subscriptions,Entertainment,ADOBE INC,True
[debit] MEIJER*MWBPK1,64.64,debit,Groceries,Food & Drink,MEIJER,True
[debit] POS DEBIT TICKETMASTER 4MDPLN,164.94,debit,Entertainment,Entertainment,TICKETMASTER,True
[debit] SQ *CIRCLE K NASHVILLE TN,17.14,debit,Gas,Transportation,CIRCLE K,True
[debit] SQ *DAVE AND BUSTERS INDIANAPOL IN,41.47,debit,Entertainment,Entertainment,DAVE AND BUSTERS,True
[debit] REDSTONE PROPERTIES DES:ACH PMT ID:QH1XDD29SE INDN:CARDHOLDER,818.89,debit,Rent,Bills & Housing,REDSTONE PROPERTIES,True
[credit] SQ *AMC ONLINE PHOENIX AZ,42.51,credit,Entertainment,Entertainment,AMC ONLINE,True
[debit] PAYPAL INST XFER #9383 NASHVILLE TN,478.35,debit,Transfer,Transfers & Fees,PAYPAL INST XFER,True
[credit] UPWORK ESCROW DES:PAYMENT ID:EFRJRWBMFP INDN:CARDHOLDER,3456.36,credit,Income,Income,UPWORK ESCROW,True
[debit] TARGET BROOKLYN NY,288.36,debit,Shopping,Shopping,TARGET,True
[credit] POS DEBIT MTA VENDING MACH 6U75AD,14.31,credit,Rideshare,Transportation,MTA VENDING MACH,True
[debit] ANYTIME FITNESS DES:DEPOSIT ID:79F65C61NM INDN:CARDHOLDER,82.9,debit,Fitness,Health & Wellness,ANYTIME FITNESS,True
[debit] F45 TRAINING*45PEQPTG,130.44,debit,Fitness,Health & Wellness,F45 TRAINING,True
[debit] POS DEBIT LYFT RIDE KSDJZU,42.89,debit,Rideshare,Transportation,LYFT RIDE,True
[debit] NYTIMES DIGITAL DES:DEPOSIT ID:9361ME8JMV INDN:CARDHOLDER,45.55,debit,Subscriptions,Entertainment,NYTIMES DIGITAL,True
[debit] SQ *VIENNA ESPRESSO #911 SAN FRANCISCO CA,17.46,debit,Coffee,Food & Drink,SQ *VIENNA ESPRESSO,True
[debit] SAMS CLUB #5856 AUSTIN TX,155.44,debit,Shopping,Shopping,SAMS CLUB,True
[debit] POS DEBIT WALGREENS K6LFVD,161.93,debit,Healthcare,Health & Wellness,WALGREENS,True
[debit] TICKETMASTER*BNG7LTD,82.71,debit,Entertainment,Entertainment,TICKETMASTER,True
[debit] MCGRAW HILL DES:DIRECT DEP ID:7B57TTJBTT INDN:CARDHOLDER,1405.83,debit,Education,Bills & Housing,MCGRAW HILL,True
[debit] THE LODGE APTS DES:DIRECT DEP ID:NN3SYVK4RZ INDN:CARDHOLDER,1367.69,debit,Rent,Bills & Housing,THE LODGE APTS,True
[debit] AMTRAK*KS5WXXK25,1211.47,debit,Travel,Transportation,AMTRAK,True
[debit] DAVE AND BUSTERS*TN9NWQ,133.0,debit,Entertainment,Entertainment,DAVE AND BUSTERS,True
[debit] SQ *VIENNA ESPRESSO*EW2PCK,22.44,debit,Coffee,Food & Drink,SQ *VIENNA ESPRESSO,True
[debit] CURB TAXI WEST LAFAYETTE IN,17.31,debit,Rideshare,Transportation,CURB TAXI,True
[debit] HILTON GARDEN INN*NPZRCPER6P,179.88,debit,Travel,Transportation,HILTON GARDEN INN,True
[debit] PANDA EXPRESS #653 INDIANAPOLIS IN,62.68,debit,Dining,Food & Drink,PANDA EXPRESS,True
[debit] SQ *COSTCO WHSE NASHVILLE TN,121.49,debit,Shopping,Shopping,COSTCO WHSE,True
[debit] SPECTRUM DES:DIRECT DEP ID:X6F43ZN8TT INDN:CARDHOLDER,294.93,debit,Utilities,Bills & Housing,SPECTRUM,True
[debit] YMCA MEMBERSHIP DES:BILLPAY ID:356DTZLJBX INDN:CARDHOLDER,41.51,debit,Fitness,Health & Wellness,YMCA MEMBERSHIP,True
[debit] CURB TAXI #5973 PHOENIX AZ,39.02,debit,Rideshare,Transportation,CURB TAXI,True
[debit] WALGREENS #1675 CHICAGO IL,111.82,debit,Shopping,Shopping,WALGREENS,True
[debit] NOODLES AND CO #1011 DENVER CO,9.17,debit,Dining,Food & Drink,NOODLES AND CO,True
[debit] POS DEBIT DAVE AND BUSTERS AUC36N,87.34,debit,Entertainment,Entertainment,DAVE AND BUSTERS,True
[debit] POS DEBIT TST* GREYHOUSE GF8QTA,7.15,debit,Coffee,Food & Drink,TST* GREYHOUSE,True
[debit] OVERDRAFT FEE 2LDG,33.53,debit,Fees,Transfers & Fees,OVERDRAFT FEE,True
[debit] REDSTONE PROPERTIES DES:DEPOSIT ID:GGQJCQ1B1B INDN:CARDHOLDER,735.0,debit,Rent,Bills & Housing,REDSTONE PROPERTIES,True
[debit] POS DEBIT DAVE AND BUSTERS 86TYSZ,109.08,debit,Entertainment,Entertainment,DAVE AND BUSTERS,True
[debit] PURCHASE APPLE.COM/BILL WEST LAFAYETTE INUS,31.44,debit,Subscriptions,Entertainment,APPLE.COM/BILL,True
[debit] TARGET*9PRJN90JKY,444.05,debit,Shopping,Shopping,TARGET,True
[debit] PEETS COFFEE*MNGMQUK,19.1,debit,Coffee,Food & Drink,PEETS COFFEE,True
[debit] HILTON GARDEN INN*TYUD8YQ,834.76,debit,Travel,Transportation,HILTON GARDEN INN,True
[debit] CITY WATER WORKS*1737SE10D1,261.72,debit,Utilities,Bills & Housing,CITY WATER WORKS,True
[debit] POS DEBIT WALMART SUPERCENTER BT8KGC,206.85,debit,Groceries,Food & Drink,WALMART SUPERCENTER,True
[debit] PURCHASE DROPBOX NASHVILLE TNUS,31.72,debit,Subscriptions,Entertainment,DROPBOX,True
[debit] ORANGETHEORY DES:PAYMENT ID:5D4PE7E6W5 INDN:CARDHOLDER,54.36,debit,Fitness,Health & Wellness,ORANGETHEORY,True
[debit] UNIV BOOKSTORE CHICAGO IL,475.48,debit,Education,Bills & Housing,UNIV BOOKSTORE,True
[debit] SPEEDWAY*C19W3V,72.68,debit,Gas,Transportation,SPEEDWAY,True
[debit] MCGRAW HILL*NV5YVPP,114.68,debit,Education,Bills & Housing,MCGRAW HILL,True
[debit] REPUBLIC SERVICES DES:PAYMENT ID:EB077Q2WMR INDN:CARDHOLDER,258.15,debit,Utilities,Bills & Housing,REPUBLIC SERVICES,True
[debit] ADOBE INC DES:DIRECT DEP ID:RZ1TE1M7CL INDN:CARDHOLDER,59.98,debit,Subscriptions,Entertainment,ADOBE INC,True
[debit] PURCHASE DAVE AND BUSTERS WEST LAFAYETTE INUS,107.26,debit,Entertainment,Entertainment,DAVE AND BUSTERS,True
[debit] POS DEBIT WILLOW CREEK APTS 349XQB,1169.54,debit,Rent,Bills & Housing,WILLOW CREEK APTS,True
[debit] ZELLE PAYMENT*YMN7WU7QD,357.26,debit,Transfer,Transfers & Fees,ZELLE PAYMENT,True
[debit] UNIV BOOKSTORE DES:ACH PMT ID:MYB62YYWDD INDN:CARDHOLDER,911.5,debit,Education,Bills & Housing,UNIV BOOKSTORE,True
[debit] WALMART SUPERCENTER*TB6BW00WG,140.87,debit,Groceries,Food & Drink,WALMART SUPERCENTER,True
[debit] POS DEBIT GITHUB INC MRUDW3,31.42,debit,Subscriptions,Entertainment,GITHUB INC,True
[debit] PURCHASE TICKETMASTER PHOENIX AZUS,68.25,debit,Entertainment,Entertainment,TICKETMASTER,True
