description,amount,direction,source_category,budget_category,merchant,merchant_seen_in_training
[debit] STOP N SHOP*GK91D045,176.32,debit,Groceries,Food & Drink,STOP N SHOP,False
[debit] PAYPAL *ONEMEDICAL,99.8,debit,Healthcare,Health & Wellness,ONE MEDICAL,False
[debit] PAYPAL *DICKSSPORTINGGDS,267.61,debit,Shopping,Shopping,DICKS SPORTING GDS,False
[debit] SQ *ASPEN DENTAL SEATTLE WA,306.11,debit,Healthcare,Health & Wellness,ASPEN DENTAL,False
[debit] POS DEBIT DICKS SPORTING GDS APN11B,470.1,debit,Shopping,Shopping,DICKS SPORTING GDS,False
[debit] POS DEBIT EVENTBRITE C2VELY,111.8,debit,Entertainment,Entertainment,EVENTBRITE,False
[debit] POS DEBIT UBER EATS 9LRN39,8.15,debit,Dining,Food & Drink,UBER EATS,False
[debit] PEARSON EDUCATION*VKSWYMBL,1586.8,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] CLASSPASS*BEMKE0M8,69.23,debit,Fitness,Health & Wellness,CLASSPASS,False
[debit] PURCHASE CTA VENTRA SAN FRANCISCO CAUS,53.93,debit,Rideshare,Transportation,CTA VENTRA,False
[debit] POS DEBIT SOFI MONEY XFER VG0PEY,743.44,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] LABCORP BROOKLYN NY,12.19,debit,Healthcare,Health & Wellness,LABCORP,False
[debit] DUNKIN*DF72VYQUA,13.16,debit,Coffee,Food & Drink,DUNKIN,False
[debit] SOFI MONEY XFER*06D1F2,579.11,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[credit] STATE OF IN PAYROLL DES:ACH PMT ID:U15JX1H02C INDN:CARDHOLDER,229.49,credit,Income,Income,STATE OF IN PAYROLL,False
[debit] DUNKIN*S6WES86BAB,13.81,debit,Coffee,Food & Drink,DUNKIN,False
[debit] DICKS SPORTING GDS #7030 CHICAGO IL,346.1,debit,Shopping,Shopping,DICKS SPORTING GDS,False
[debit] ONE MEDICAL CHICAGO IL,565.91,debit,Healthcare,Health & Wellness,ONE MEDICAL,False
[debit] LINCOLN PROP CO SAN FRANCISCO CA,1508.56,debit,Rent,Bills & Housing,LINCOLN PROP CO,False
[debit] BIGGBY COFFEE*PFBXX8,6.25,debit,Coffee,Food & Drink,BIGGBY COFFEE,False
[debit] SQ *EVENTBRITE CHICAGO IL,62.48,debit,Entertainment,Entertainment,EVENTBRITE,False
[debit] POS DEBIT ROBINHOOD FUNDING FMQQUM,182.29,debit,Transfer,Transfers & Fees,ROBINHOOD FUNDING,False
[debit] COMCAST XFINITY DES:DIRECT DEP ID:1QF1Q8WPKT INDN:CARDHOLDER,300.83,debit,Utilities,Bills & Housing,COMCAST XFINITY,False
[debit] SQ *SOFI MONEY XFER INDIANAPOL IN,353.28,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] PLAYSTATION NETWORK BROOKLYN NY,104.38,debit,Entertainment,Entertainment,PLAYSTATION NETWORK,False
[debit] SQ *ASPEN DENTAL CHICAGO IL,366.85,debit,Healthcare,Health & Wellness,ASPEN DENTAL,False
[debit] LINCOLN PROP CO DES:PAYMENT ID:4P1VUK3QSU INDN:CARDHOLDER,1568.81,debit,Rent,Bills & Housing,LINCOLN PROP CO,False
[debit] PAYPAL *DUNKIN,16.58,debit,Coffee,Food & Drink,DUNKIN,False
[credit] PAYPAL *DELTAAIRLINES,380.42,credit,Travel,Transportation,DELTA AIR LINES,False
[debit] NETFLIX.COM DES:DEPOSIT ID:L8VWLB7MX4 INDN:CARDHOLDER,41.09,debit,Subscriptions,Entertainment,NETFLIX.COM,False
[debit] CRUNCH FITNESS DES:ACH PMT ID:58KB02H6LU INDN:CARDHOLDER,114.27,debit,Fitness,Health & Wellness,CRUNCH FITNESS,False
[debit] AMERICAN ELECTRIC DES:PAYMENT ID:CFENL4E8CF INDN:CARDHOLDER,61.14,debit,Utilities,Bills & Housing,AMERICAN ELECTRIC,False
[debit] POS DEBIT NOTION LABS 4Z6YYG,25.82,debit,Subscriptions,Entertainment,NOTION LABS,False
[debit] UBER TRIP #7618 ATLANTA GA,56.9,debit,Rideshare,Transportation,UBER TRIP,False
[debit] ONE MEDICAL*9JDB9QK,138.31,debit,Healthcare,Health & Wellness,ONE MEDICAL,False
[debit] STARBUCKS NASHVILLE TN,5.3,debit,Coffee,Food & Drink,STARBUCKS,False
[debit] AVALON COMMUNITIES DES:PAYMENT ID:9D5MZKB3B1 INDN:CARDHOLDER,1273.48,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[debit] XBOX GAME PASS*EWZ02HR,74.15,debit,Entertainment,Entertainment,XBOX GAME PASS,False
[debit] UBER TRIP SEATTLE WA,48.71,debit,Rideshare,Transportation,UBER TRIP,False
[credit] STATE OF IN PAYROLL DES:PAYMENT ID:JMTW4GGAAK INDN:CARDHOLDER,2663.0,credit,Income,Income,STATE OF IN PAYROLL,False
[debit] POS DEBIT SUNOCO LP5TV4,87.92,debit,Gas,Transportation,SUNOCO,False
[debit] SQ *ONE MEDICAL SEATTLE WA,584.83,debit,Healthcare,Health & Wellness,ONE MEDICAL,False
[debit] ASPEN DENTAL CHICAGO IL,73.89,debit,Healthcare,Health & Wellness,ASPEN DENTAL,False
[debit] POS DEBIT LINCOLN PROP CO 4U84UN,1795.37,debit,Rent,Bills & Housing,LINCOLN PROP CO,False
[debit] PEARSON EDUCATION DES:PAYMENT ID:LWS46BJBUH INDN:CARDHOLDER,978.25,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] NOTION LABS DES:DEPOSIT ID:TTH29F8PAM INDN:CARDHOLDER,36.66,debit,Subscriptions,Entertainment,NOTION LABS,False
[debit] CLASSPASS DES:DEPOSIT ID:Q5DWKMAZGH INDN:CARDHOLDER,24.44,debit,Fitness,Health & Wellness,CLASSPASS,False
[debit] STOP N SHOP #2112 SAN FRANCISCO CA,134.99,debit,Groceries,Food & Drink,STOP N SHOP,False
[debit] KROGER INDIANAPOLIS IN,13.01,debit,Groceries,Food & Drink,KROGER,False
[debit] PAYPAL *SUNOCO,39.76,debit,Gas,Transportation,SUNOCO,False
[debit] DUNKIN WEST LAFAYETTE IN,22.36,debit,Coffee,Food & Drink,DUNKIN,False
[debit] POS DEBIT CLASSPASS SCJ7AW,38.96,debit,Fitness,Health & Wellness,CLASSPASS,False
[debit] XBOX GAME PASS #3095 PHOENIX AZ,45.65,debit,Entertainment,Entertainment,XBOX GAME PASS,False
[debit] SQ *TACO CASA #7680 CHICAGO IL,38.61,debit,Dining,Food & Drink,SQ *TACO CASA,False
[debit] COMCAST XFINITY DES:DIRECT DEP ID:6DN03L77RT INDN:CARDHOLDER,139.75,debit,Utilities,Bills & Housing,COMCAST XFINITY,False
[debit] AMERICAN ELECTRIC DES:DIRECT DEP ID:0DBV9N7XV8 INDN:CARDHOLDER,226.36,debit,Utilities,Bills & Housing,AMERICAN ELECTRIC,False
[debit] LINCOLN PROP CO DES:BILLPAY ID:SR2MBH1YP1 INDN:CARDHOLDER,1254.97,debit,Rent,Bills & Housing,LINCOLN PROP CO,False
[debit] SOFI MONEY XFER #2321 PHOENIX AZ,419.35,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] SQ *AIRBNB WEST LAFAY IN,682.46,debit,Travel,Transportation,AIRBNB,False
[debit] POS DEBIT SHAKE SHACK MVS7V9,29.78,debit,Dining,Food & Drink,SHAKE SHACK,False
[debit] SQ *LABCORP INDIANAPOL IN,162.07,debit,Healthcare,Health & Wellness,LABCORP,False
[debit] SOFI MONEY XFER*32PYRM,110.98,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] PAYPAL *KROGER,29.9,debit,Groceries,Food & Drink,KROGER,False
[debit] POS DEBIT SHELL OIL 4ANL4Y,86.27,debit,Gas,Transportation,SHELL OIL,False
[credit] PAYROLL DEP DES:ACH PMT ID:51S9M6NGQ7 INDN:CARDHOLDER,1581.34,credit,Income,Income,PAYROLL DEP,False
[debit] PAYPAL *SOFIMONEYXFER,151.58,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] POS DEBIT FIVE GUYS EBL7Y1,74.15,debit,Dining,Food & Drink,FIVE GUYS,False
[debit] CHEGG ORDER*H1XCTWBJP,1714.51,debit,Education,Bills & Housing,CHEGG ORDER,False
[debit] CLASSPASS DES:DIRECT DEP ID:8ZU3CCYDJD INDN:CARDHOLDER,44.7,debit,Fitness,Health & Wellness,CLASSPASS,False
[debit] SOUTHWEST AIRLINE*FNNYYCSHSG,331.86,debit,Travel,Transportation,SOUTHWEST AIRLINE,False
[debit] POS DEBIT DICKS SPORTING GDS 1YCC0N,328.16,debit,Shopping,Shopping,DICKS SPORTING GDS,False
[debit] CLASSPASS DES:DEPOSIT ID:13JBU7WZXV INDN:CARDHOLDER,45.49,debit,Fitness,Health & Wellness,CLASSPASS,False
[debit] AIRBNB*QD3PVGL85J,306.84,debit,Travel,Transportation,AIRBNB,False
[debit] CRUNCH FITNESS DES:BILLPAY ID:JEFF8F1UFG INDN:CARDHOLDER,17.08,debit,Fitness,Health & Wellness,CRUNCH FITNESS,False
[debit] POS DEBIT ROBINHOOD FUNDING ZNJS5S,731.43,debit,Transfer,Transfers & Fees,ROBINHOOD FUNDING,False
[debit] SUNOCO*26GU35,50.52,debit,Gas,Transportation,SUNOCO,False
[debit] POS DEBIT SUNOCO YHXUYN,77.28,debit,Gas,Transportation,SUNOCO,False
[debit] POS DEBIT SQ *TACO CASA TP9MGA,14.3,debit,Dining,Food & Drink,SQ *TACO CASA,False
[debit] POS DEBIT AVALON COMMUNITIES 0TVKZC,700.25,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[debit] T-MOBILE DES:BILLPAY ID:1GX2VTP9JA INDN:CARDHOLDER,194.7,debit,Utilities,Bills & Housing,T-MOBILE,False
[debit] PLAYSTATION NETWORK AUSTIN TX,165.37,debit,Entertainment,Entertainment,PLAYSTATION NETWORK,False
[debit] NOTION LABS DES:DEPOSIT ID:YQGEFYAJ6A INDN:CARDHOLDER,34.63,debit,Subscriptions,Entertainment,NOTION LABS,False
[debit] POS DEBIT SUNOCO MW0BYP,42.94,debit,Gas,Transportation,SUNOCO,False
[debit] CTA VENTRA COLUMBUS OH,41.89,debit,Rideshare,Transportation,CTA VENTRA,False
[debit] SQ *SHELL OIL NASHVILLE TN,65.99,debit,Gas,Transportation,SHELL OIL,False
[debit] POS DEBIT CTA VENTRA QKPD8W,7.96,debit,Rideshare,Transportation,CTA VENTRA,False
[debit] SOUTHWEST AIRLINE #7143 DENVER CO,602.02,debit,Travel,Transportation,SOUTHWEST AIRLINE,False
[debit] EVENTBRITE #9333 DENVER CO,15.68,debit,Entertainment,Entertainment,EVENTBRITE,False
[debit] WEGMANS*GBB888,86.61,debit,Groceries,Food & Drink,WEGMANS,False
[debit] PEARSON EDUCATION DES:BILLPAY ID:H9T8CZVZP6 INDN:CARDHOLDER,678.78,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] UBER TRIP #9784 NASHVILLE TN,42.06,debit,Rideshare,Transportation,UBER TRIP,False
[credit] FOREIGN TRANS FEE,31.9,credit,Fees,Transfers & Fees,FOREIGN TRANS FEE,False
[debit] AMERICAN ELECTRIC*BVK9F7QJ0,39.17,debit,Utilities,Bills & Housing,AMERICAN ELECTRIC,False
[debit] SHELL OIL INDIANAPOLIS IN,25.68,debit,Gas,Transportation,SHELL OIL,False
[debit] PURCHASE PLAYSTATION NETWORK AUSTIN TXUS,80.69,debit,Entertainment,Entertainment,PLAYSTATION NETWORK,False
[debit] POS DEBIT SQ *TACO CASA WUG884,62.08,debit,Dining,Food & Drink,SQ *TACO CASA,False
[debit] CTA VENTRA #993 CHICAGO IL,61.89,debit,Rideshare,Transportation,CTA VENTRA,False
[debit] NOTION LABS DES:ACH PMT ID:21GKQX6PXT INDN:CARDHOLDER,53.34,debit,Subscriptions,Entertainment,NOTION LABS,False
[debit] POS DEBIT AVALON COMMUNITIES GERPB6,1819.84,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[debit] FOREIGN TRANS FEE 5JAB,29.53,debit,Fees,Transfers & Fees,FOREIGN TRANS FEE,False
[credit] PAYROLL DEP DES:BILLPAY ID:6KWND305DR INDN:CARDHOLDER,2738.89,credit,Income,Income,PAYROLL DEP,False
[debit] PEARSON EDUCATION DES:PAYMENT ID:6NJWVNYAFS INDN:CARDHOLDER,786.36,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] PURCHASE NOTION LABS AUSTIN TXUS,26.14,debit,Subscriptions,Entertainment,NOTION LABS,False
[debit] COMCAST XFINITY DES:DIRECT DEP ID:K71KMQ1CRL INDN:CARDHOLDER,240.28,debit,Utilities,Bills & Housing,COMCAST XFINITY,False
[credit] PAYROLL DEP BROOKLYN NY,652.5,credit,Income,Income,PAYROLL DEP,False
[debit] PURCHASE FIVE GUYS ATLANTA GAUS,89.33,debit,Dining,Food & Drink,FIVE GUYS,False
[debit] NOTION LABS DES:PAYMENT ID:KJ0F490C15 INDN:CARDHOLDER,32.53,debit,Subscriptions,Entertainment,NOTION LABS,False
[debit] PURCHASE XBOX GAME PASS ATLANTA GAUS,125.16,debit,Entertainment,Entertainment,XBOX GAME PASS,False
[debit] PURCHASE STOP N SHOP SEATTLE WAUS,165.38,debit,Groceries,Food & Drink,STOP N SHOP,False
[debit] POS DEBIT XBOX GAME PASS 1C1UDH,121.21,debit,Entertainment,Entertainment,XBOX GAME PASS,False
[debit] AMAZON WEB SERVICES DENVER CO,34.53,debit,Subscriptions,Entertainment,AMAZON WEB SERVICES,False
[debit] UBER TRIP*GWYSNDPES,41.12,debit,Rideshare,Transportation,UBER TRIP,False
[debit] IKEA #2861 WEST LAFAYETTE IN,313.91,debit,Shopping,Shopping,IKEA,False
[debit] SQ *SHAKE SHACK DENVER CO,61.55,debit,Dining,Food & Drink,SHAKE SHACK,False
[credit] STATE OF IN PAYROLL*1R56YLXX3,439.21,credit,Income,Income,STATE OF IN PAYROLL,False
[credit] PAYROLL DEP*EXYXWJZ9VT,4124.18,credit,Income,Income,PAYROLL DEP,False
[debit] NOTION LABS ATLANTA GA,25.66,debit,Subscriptions,Entertainment,NOTION LABS,False
[debit] POS DEBIT SOFI MONEY XFER SR4B2J,438.75,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] UBER TRIP NASHVILLE TN,17.99,debit,Rideshare,Transportation,UBER TRIP,False
[debit] PURCHASE ROBINHOOD FUNDING NASHVILLE TNUS,271.42,debit,Transfer,Transfers & Fees,ROBINHOOD FUNDING,False
[debit] ASPEN DENTAL NASHVILLE TN,379.79,debit,Healthcare,Health & Wellness,ASPEN DENTAL,False
[debit] SQ *SOFI MONEY XFER NASHVILLE TN,301.01,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] SHELL OIL #3885 NASHVILLE TN,28.02,debit,Gas,Transportation,SHELL OIL,False
[debit] PAYPAL *STARBUCKS,8.47,debit,Coffee,Food & Drink,STARBUCKS,False
[debit] POS DEBIT NOTION LABS 1GD39S,48.35,debit,Subscriptions,Entertainment,NOTION LABS,False
[debit] PURCHASE NETFLIX.COM ATLANTA GAUS,44.21,debit,Subscriptions,Entertainment,NETFLIX.COM,False
[debit] SQ *WEGMANS WEST LAFAY IN,93.87,debit,Groceries,Food & Drink,WEGMANS,False
[debit] PAYPAL *PILOTTRAVELCTR,55.07,debit,Gas,Transportation,PILOT TRAVEL CTR,False
[debit] PEARSON EDUCATION DES:DEPOSIT ID:0RU02J1QF2 INDN:CARDHOLDER,599.63,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] POS DEBIT CTA VENTRA ZDQC6K,14.35,debit,Rideshare,Transportation,CTA VENTRA,False
[debit] SOFI MONEY XFER #9300 INDIANAPOLIS IN,302.76,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] ONE MEDICAL #6761 BROOKLYN NY,309.79,debit,Healthcare,Health & Wellness,ONE MEDICAL,False
[debit] CLASSPASS DES:PAYMENT ID:1UV1K354RB INDN:CARDHOLDER,151.87,debit,Fitness,Health & Wellness,CLASSPASS,False
[debit] SOFI MONEY XFER*JC9ST8X,718.14,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] POS DEBIT AVALON COMMUNITIES 5UVGNL,1481.6,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[debit] CLASSPASS DES:DEPOSIT ID:Z5FFAP774W INDN:CARDHOLDER,154.29,debit,Fitness,Health & Wellness,CLASSPASS,False
[debit] NOTION LABS*YJGB6UFZXN,30.4,debit,Subscriptions,Entertainment,NOTION LABS,False
[debit] PURCHASE COMCAST XFINITY NASHVILLE TNUS,49.32,debit,Utilities,Bills & Housing,COMCAST XFINITY,False
[debit] SQ *UBER TRIP COLUMBUS OH,7.77,debit,Rideshare,Transportation,UBER TRIP,False
[credit] PURCHASE STATE OF IN PAYROLL CHICAGO ILUS,2982.06,credit,Income,Income,STATE OF IN PAYROLL,False
[debit] POS DEBIT LOWES FY1GTC,52.45,debit,Shopping,Shopping,LOWES,False
[debit] CRUNCH FITNESS*216WA1L,143.68,debit,Fitness,Health & Wellness,CRUNCH FITNESS,False
[debit] AMERICAN ELECTRIC DES:DIRECT DEP ID:WCRNQJDVFC INDN:CARDHOLDER,249.72,debit,Utilities,Bills & Housing,AMERICAN ELECTRIC,False
[debit] PEARSON EDUCATION DES:ACH PMT ID:67B7AQ9R3H INDN:CARDHOLDER,362.31,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] SHELL OIL PHOENIX AZ,60.62,debit,Gas,Transportation,SHELL OIL,False
[debit] AVALON COMMUNITIES DENVER CO,1121.0,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[debit] PAYPAL *XBOXGAMEPASS,120.15,debit,Entertainment,Entertainment,XBOX GAME PASS,False
[credit] CHEGG ORDER DES:ACH PMT ID:8NP368FCK2 INDN:CARDHOLDER,919.55,credit,Education,Bills & Housing,CHEGG ORDER,False
[debit] PURCHASE PEARSON EDUCATION BROOKLYN NYUS,639.21,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] PURCHASE CRUNCH FITNESS AUSTIN TXUS,57.5,debit,Fitness,Health & Wellness,CRUNCH FITNESS,False
[debit] POS DEBIT LABCORP KVQ226,584.35,debit,Healthcare,Health & Wellness,LABCORP,False
[debit] DELTA AIR LINES #7380 INDIANAPOLIS IN,793.21,debit,Travel,Transportation,DELTA AIR LINES,False
[debit] XBOX GAME PASS #2286 DENVER CO,58.83,debit,Entertainment,Entertainment,XBOX GAME PASS,False
[debit] EVENTBRITE NASHVILLE TN,95.42,debit,Entertainment,Entertainment,EVENTBRITE,False
[debit] CRUNCH FITNESS DES:BILLPAY ID:KPVPENRM29 INDN:CARDHOLDER,90.96,debit,Fitness,Health & Wellness,CRUNCH FITNESS,False
[debit] PAYPAL *STOPNSHOP,99.01,debit,Groceries,Food & Drink,STOP N SHOP,False
[debit] AMAZON WEB SERVICES DES:DEPOSIT ID:MVGZT8SLQR INDN:CARDHOLDER,23.82,debit,Subscriptions,Entertainment,AMAZON WEB SERVICES,False
[debit] LINCOLN PROP CO DES:DIRECT DEP ID:WR6EJLXZ2W INDN:CARDHOLDER,2322.61,debit,Rent,Bills & Housing,LINCOLN PROP CO,False
[debit] LINCOLN PROP CO DES:DEPOSIT ID:4ETY2LVB5R INDN:CARDHOLDER,1732.99,debit,Rent,Bills & Housing,LINCOLN PROP CO,False
[debit] POS DEBIT KROGER QVQYNP,45.93,debit,Groceries,Food & Drink,KROGER,False
[debit] PURCHASE STOP N SHOP COLUMBUS OHUS,81.69,debit,Groceries,Food & Drink,STOP N SHOP,False
[debit] SQ *EVENTBRITE DENVER CO,49.78,debit,Entertainment,Entertainment,EVENTBRITE,False
[debit] SOUTHWEST AIRLINE*R5XZ6AVCZR,1223.2,debit,Travel,Transportation,SOUTHWEST AIRLINE,False
[debit] PLAYSTATION NETWORK #8047 SAN FRANCISCO CA,89.59,debit,Entertainment,Entertainment,PLAYSTATION NETWORK,False
[debit] PILOT TRAVEL CTR #2609 SAN FRANCISCO CA,80.4,debit,Gas,Transportation,PILOT TRAVEL CTR,False
[debit] NOTION LABS*0TJXLZ94,41.33,debit,Subscriptions,Entertainment,NOTION LABS,False
[credit] PAYROLL DEP DES:DEPOSIT ID:KA3E7SG2Y4 INDN:CARDHOLDER,873.28,credit,Income,Income,PAYROLL DEP,False
[debit] FIVE GUYS INDIANAPOLIS IN,9.9,debit,Dining,Food & Drink,FIVE GUYS,False
[debit] ASPEN DENTAL #8181 COLUMBUS OH,326.72,debit,Healthcare,Health & Wellness,ASPEN DENTAL,False
[credit] POS DEBIT AMERICAN ELECTRIC J2P02T,178.55,credit,Utilities,Bills & Housing,AMERICAN ELECTRIC,False
[debit] LINCOLN PROP CO*P5KU44H,1546.87,debit,Rent,Bills & Housing,LINCOLN PROP CO,False
[debit] SOFI MONEY XFER*R6G5UPQR1,498.99,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[credit] STATE OF IN PAYROLL DES:BILLPAY ID:ZWF94J358V INDN:CARDHOLDER,4095.65,credit,Income,Income,STATE OF IN PAYROLL,False
[debit] ROBINHOOD FUNDING*FACPLGFCGG,135.33,debit,Transfer,Transfers & Fees,ROBINHOOD FUNDING,False
[debit] LABCORP #3180 WEST LAFAYETTE IN,281.71,debit,Healthcare,Health & Wellness,LABCORP,False
[debit] LOWES COLUMBUS OH,148.88,debit,Shopping,Shopping,LOWES,False
[debit] AVALON COMMUNITIES DES:DIRECT DEP ID:378X03K0ZJ INDN:CARDHOLDER,1528.63,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[credit] PAYROLL DEP*53PGNB31,4156.59,credit,Income,Income,PAYROLL DEP,False
[debit] CHEGG ORDER DES:DIRECT DEP ID:RUK67HD6E6 INDN:CARDHOLDER,1255.17,debit,Education,Bills & Housing,CHEGG ORDER,False
[debit] REI.COM NASHVILLE TN,117.04,debit,Shopping,Shopping,REI.COM,False
[debit] HEB ONLINE*RNRCFT6,60.75,debit,Groceries,Food & Drink,HEB ONLINE,False
[debit] CRUNCH FITNESS DES:PAYMENT ID:URGD1BR954 INDN:CARDHOLDER,102.76,debit,Fitness,Health & Wellness,CRUNCH FITNESS,False
[debit] COMCAST XFINITY DES:PAYMENT ID:HHXTZMGE8M INDN:CARDHOLDER,232.85,debit,Utilities,Bills & Housing,COMCAST XFINITY,False
[debit] CRUNCH FITNESS DES:DEPOSIT ID:R48W2ZTSMB INDN:CARDHOLDER,16.84,debit,Fitness,Health & Wellness,CRUNCH FITNESS,False
[debit] POS DEBIT CLASSPASS N0VQTL,34.81,debit,Fitness,Health & Wellness,CLASSPASS,False
[debit] POS DEBIT SUNOCO TNTJXL,55.97,debit,Gas,Transportation,SUNOCO,False
[debit] NETFLIX.COM DES:DEPOSIT ID:KR01F7LK1F INDN:CARDHOLDER,58.04,debit,Subscriptions,Entertainment,NETFLIX.COM,False
[debit] T-MOBILE*3HBNX3,104.63,debit,Utilities,Bills & Housing,T-MOBILE,False
[credit] STATE OF IN PAYROLL INDIANAPOLIS IN,1098.58,credit,Income,Income,STATE OF IN PAYROLL,False
[debit] AVALON COMMUNITIES*TL6896,981.09,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[credit] CHEGG ORDER DES:PAYMENT ID:U9DXARUTUQ INDN:CARDHOLDER,1327.76,credit,Education,Bills & Housing,CHEGG ORDER,False
[debit] POS DEBIT SOUTHWEST AIRLINE 389VRA,418.18,debit,Travel,Transportation,SOUTHWEST AIRLINE,False
[debit] AMAZON WEB SERVICES DES:DIRECT DEP ID:LH0MMRVDK4 INDN:CARDHOLDER,44.85,debit,Subscriptions,Entertainment,AMAZON WEB SERVICES,False
[credit] PAYROLL DEP COLUMBUS OH,341.63,credit,Income,Income,PAYROLL DEP,False
[debit] SQ *HEB ONLINE BROOKLYN NY,18.12,debit,Groceries,Food & Drink,HEB ONLINE,False
[debit] UBER TRIP*4W11FLDV,21.41,debit,Rideshare,Transportation,UBER TRIP,False
[debit] POS DEBIT STARBUCKS JHHDD0,16.1,debit,Coffee,Food & Drink,STARBUCKS,False
[debit] AVALON COMMUNITIES DES:BILLPAY ID:13TDEVB9DC INDN:CARDHOLDER,2185.42,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[debit] AMAZON WEB SERVICES SEATTLE WA,43.29,debit,Subscriptions,Entertainment,AMAZON WEB SERVICES,False
[debit] AVALON COMMUNITIES DES:BILLPAY ID:N2F2GUNEJ6 INDN:CARDHOLDER,994.82,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[debit] ROBINHOOD FUNDING #7481 DENVER CO,827.27,debit,Transfer,Transfers & Fees,ROBINHOOD FUNDING,False
[debit] DUNKIN*T0X5F9W8ZF,7.15,debit,Coffee,Food & Drink,DUNKIN,False
[debit] POS DEBIT CHEGG ORDER WKWLXD,609.52,debit,Education,Bills & Housing,CHEGG ORDER,False
[debit] PURCHASE NETFLIX.COM DENVER COUS,44.81,debit,Subscriptions,Entertainment,NETFLIX.COM,False
[debit] SUNOCO #7834 SEATTLE WA,28.85,debit,Gas,Transportation,SUNOCO,False
[debit] UBER TRIP #803 SEATTLE WA,33.08,debit,Rideshare,Transportation,UBER TRIP,False
[debit] PURCHASE LOWES COLUMBUS OHUS,318.57,debit,Shopping,Shopping,LOWES,False
[credit] POS DEBIT CHEGG ORDER RPYSTF,787.19,credit,Education,Bills & Housing,CHEGG ORDER,False
[debit] LINCOLN PROP CO*4CRQX4TRH4,1456.13,debit,Rent,Bills & Housing,LINCOLN PROP CO,False
[debit] POS DEBIT SOFI MONEY XFER Z21MXZ,57.16,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] PAYPAL *SOUTHWESTAIRLINE,1226.57,debit,Travel,Transportation,SOUTHWEST AIRLINE,False
[debit] AMAZON WEB SERVICES DES:DIRECT DEP ID:7AD20201FJ INDN:CARDHOLDER,18.01,debit,Subscriptions,Entertainment,AMAZON WEB SERVICES,False
[debit] PURCHASE AIRBNB WEST LAFAYETTE INUS,1123.42,debit,Travel,Transportation,AIRBNB,False
[credit] LABCORP DENVER CO,225.6,credit,Healthcare,Health & Wellness,LABCORP,False
[debit] POS DEBIT ONE MEDICAL Y6GCWV,229.92,debit,Healthcare,Health & Wellness,ONE MEDICAL,False
[debit] PAYPAL *IKEA,68.36,debit,Shopping,Shopping,IKEA,False
[debit] DELTA AIR LINES COLUMBUS OH,800.93,debit,Travel,Transportation,DELTA AIR LINES,False
[debit] PURCHASE ASPEN DENTAL WEST LAFAYETTE INUS,601.75,debit,Healthcare,Health & Wellness,ASPEN DENTAL,False
[debit] PURCHASE CRUNCH FITNESS BROOKLYN NYUS,28.07,debit,Fitness,Health & Wellness,CRUNCH FITNESS,False
[debit] POS DEBIT BIGGBY COFFEE 8WG2DH,21.52,debit,Coffee,Food & Drink,BIGGBY COFFEE,False
[debit] BIGGBY COFFEE #4476 COLUMBUS OH,12.26,debit,Coffee,Food & Drink,BIGGBY COFFEE,False
[debit] PEARSON EDUCATION NASHVILLE TN,1115.0,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] POS DEBIT CRUNCH FITNESS 0SHCNQ,76.91,debit,Fitness,Health & Wellness,CRUNCH FITNESS,False
[debit] PAYPAL *FIVEGUYS,88.97,debit,Dining,Food & Drink,FIVE GUYS,False
[debit] PAPER STATEMENT FEE 5J30,21.87,debit,Fees,Transfers & Fees,PAPER STATEMENT FEE,False
